Bkg Branch,Delivery Branch,Card Rate,,,,
AMBERNATH,GANDHIDHAM,4.18,,,,
AMBERNATH,JAIPUR,7.21,,,,
AMBERNATH,ROHA,3.91,,,,
AMBERNATH,JAIPUR,7.21,,,,
AMBERNATH,NAGPUR WADDHAMNA,6.11,,,,
AMBERNATH,DRONAGIRI,3.63,,,,
AMBERNATH,DRONAGIRI,3.63,,,,
AMBERNATH,VALSAD,2.26,,,,
AMBERNATH,VAPI DELIVERY,2.04,,,,
AMBERNATH,DAMAN DELIVERY UT,2.42,,,,
AMBERNATH,DAMAN DELIVERY UT,2.42,,,,
AMBERNATH,DAMAN DELIVERY UT,2.42,,,,
AMBERNATH,MADURAVOYIL DELIVERY,9.02,,,,
AMBERNATH,BHARUCH,3.41,,,,
AMBERNATH,PADRA (DHABASA),3.63,,,,
AMBERNATH,BHARUCH,3.41,,,,
AMBERNATH,SURAT CITY,3.03,,,,
AMBERNATH,BADDI (HIMACHAL PRADESH),8.14,,,,
AMBERNATH,ALLAHABAD,10.73,,,,
AMBERNATH,VATVA,3.8,,,,
AMBERNATH,HAZIRA,3.91,,,,
AMBERNATH,DASHRATH,3.63,,,,
AMBERNATH,ANDHERI,3.3,,,,
AMBERNATH,KARIMNAGAR,9.02,,,,
AMBERNATH,BHANDUP,3.47,,,,
AMBERNATH,GANDHIDHAM,4.18,,,,
AMBERNATH,MANDIDEEP,6.33,,,,
AMBERNATH,DADRA NAGAR HAVELI,2.62,,,,
AMBERNATH,BHAVNAGAR,3.91,,,,
AMBERNATH,JALANDHAR FR,9.3,,,,
AMBERNATH,VARANASI,13.37,,,,
AMBERNATH,JIGANI,8.75,,,,
AMBERNATH,TIRUPUR,11.06,,,,
AMBERNATH,BELGAUM,7.87,,,,
AMBERNATH,NAROL,3.74,,,,
AMBERNATH,BROADWAY - CHENNAI,9.3,,,,
AMBERNATH,MUMBAI,3.3,,,,
AMBERNATH,SIHOR,4.18,,,,
AMBERNATH,SURAT CITY,3.03,,,,
AMBERNATH,MAKARPURA,3.63,,,,
AMBERNATH,BARODA - KARELIBAUG,3.3,,,,
AMBERNATH,CUTTACK,11.61,,,,
AMBERNATH,DAPODA,3.3,,,,
AMBERNATH,BOMMASANDRA,8.42,,,,
AMBERNATH,BOISAR,3.3,,,,
AMBERNATH,KAKINADA,10.73,,,,
AMBERNATH,GOREGOAN,3.3,,,,
AMBERNATH,PADRA (DHABASA),3.63,,,,
AMBERNATH,GGNDLY,6.31,,,,
AMBERNATH,VAPI DELIVERY,2.04,,,,
AMBERNATH,VAPI DELIVERY,2.04,,,,
AMBERNATH,BHANDUP,3.47,,,,
AMBERNATH,SACHIN,2.81,,,,
AMBERNATH,VARANASI,13.37,,,,
AMBERNATH,VASAI EAST,3.03,,,,
AMBERNATH,MUMBAI,3.3,,,,
AMBERNATH,INDORE CITY,5.45,,,,
